Date,AAPL_strategy_return,AAPL_next_return_1d,TSLA_strategy_return,TSLA_next_return_1d,MSFT_strategy_return,MSFT_next_return_1d,BTC-USD_strategy_return,BTC-USD_next_return_1d,portfolio_strategy_return,portfolio_market_return,portfolio_cum_strat,portfolio_cum_mkt
2020-02-06,,,,,,,0.0,0.0067978365036462,0.0,0.00169945912591155,1.0,1.0016994591259116
2020-02-07,,,,,,,0.0,0.0070616763196977,0.0,0.001765419079924425,1.0,1.0034678784634024
2020-02-08,,,,,,,0.0,0.0254994069421916,0.0,0.0063748517355479,1.0,1.0098648374099914
2020-02-09,,,,,,,-0.0,-0.0257063244716865,0.0,-0.006426581117921625,1.0,1.0033748591142395
2020-02-10,,,,,,,0.0,0.035674025108068,0.0,0.008918506277017,1.0,1.0123234640934509
2020-02-11,,,,,,,0.0,0.0115414999798149,0.0,0.002885374994953725,1.0,1.0152443969035512
2020-02-12,,,,,,,-0.0,-0.0108148569872175,0.0,-0.002703714246804375,1.0,1.0124994661636548
2020-02-13,,,,,,,0.0,0.0095685033498174,0.0,0.00239212583745435,1.0,1.0149214922970737
2020-02-14,,,,,,,-0.0,-0.0409897830477971,0.0,-0.010247445761949275,1.0,1.004521139352123
2020-02-15,,,,,,,0.0,0.0045512039326256,0.0,0.0011378009831564,1.0,1.0056640844920792
2020-02-16,,,,,,,-0.0,-0.0245903315291864,0.0,-0.0061475828822966,1.0,0.9994816811809153
2020-02-17,,,,,,,0.0,0.0466302236506857,0.0,0.011657555912671425,1.0,1.0111331947629727
2020-02-18,,,,,,,-0.0,-0.0501488435115282,0.0,-0.01253721087788205,1.0,0.9984564046746027
2020-02-19,,,,,,,-0.0,-0.0025859164113087,0.0,-0.000646479102827175,1.0,0.9978109234738965
2020-02-20,,,,,,,0.0,0.0081142757365806,0.0,0.00202856893414515,1.0,0.9998350517154063
2020-02-21,,,,,,,-0.0,-0.0024012704614092,0.0,-0.0006003176153523,1.0,0.9992348331214149
2020-02-22,,,,,,,0.0,0.0270443001170883,0.0,0.006761075029272075,1.0,1.005990734800011
2020-02-23,,,,,,,-0.0,-0.0276427415380788,0.0,-0.0069106853845197,1.0,0.9990386493320663
2020-02-24,,,,,,,-0.0,-0.0319651957405645,0.0,-0.007991298935141125,1.0,0.9910550328374941
2020-02-25,0.0,0.0158638091367515,-0.0,-0.0263904705767898,0.0,0.0124948983979424,-0.0,-0.0557909517404833,0.0,-0.0134556786956448,1.0,0.9777197147459311
2020-02-26,-0.0,-0.0653682541234628,-0.0,-0.1281458395846268,-0.0,-0.0704591874706186,-0.0,-0.0040846016176541,0.0,-0.06701447069909058,1.0,0.9121983455701667
2020-02-27,-0.0,-0.0005850907178664,-0.0,-0.0162150478009942,0.0,0.0242132936149348,-0.0,-0.0127541848974389,0.0,-0.0013352574503411752,1.0,0.9109803259330552
2020-02-28,0.0,0.0931007187294139,0.0,0.1132203429321523,-0.0,0.0665386330648452,-0.0,-0.0084112616791174,0.0,0.06611210826182351,1.0,0.9712071558655326
2020-02-29,,,,,,,-0.0,-0.0043089307085921,0.0,-0.001077232677148025,1.0,0.9701609397809543
2020-03-01,,,,,,,0.0,0.0358794122185646,0.0,0.00896985305464115,1.0,0.978863140850142
2020-03-02,-0.0,-0.0317592237318574,0.0,0.0025416095259802,-0.0,-0.0479191888046374,-0.0,-0.0092318868440135,0.0,-0.02159217246363202,1.0,0.9577273590946133
2020-03-03,-0.0,0.0463843286012655,0.0,0.0053520173720666,-0.0,0.0367148130130756,0.0009877280841316,-0.0037028710724991,0.0002469320210329,0.021187071978477152,1.000246932021033,0.9780187975875078
2020-03-04,-0.0,-0.0324367702994097,-0.0,-0.0333022304450705,-0.0,-0.0250949134731294,-0.0127655894986014,0.0369511716859043,-0.00319139737465035,-0.013470685632926329,0.9970547465881789,0.9648442138221138
2020-03-05,0.0,-0.0132799000018613,-0.0,-0.0290667048694489,0.0,-0.0282672570706803,-0.0017499423604709,0.0048225958309942,-0.000437485590117725,-0.016447816527749074,0.9966185495039882,0.9489746332153074
2020-03-06,0.0,-0.0790923311404403,-0.0,-0.1357252572024996,0.0,-0.0677728550951741,0.0082973917883202,-0.0233039986032201,0.00207434794708005,-0.07647361051033352,0.9986858831461736,0.8764031167306133
